Fighter,Height,Weight,Style(op),Country,Age,Stance,Wins KO,Losses Ko,Wins Sub,Losses Sub,Total Wins,Total Losses,Total Draw
James Bochnovic,0,0,,USA,2/13/198,Orthodox,1,1,7,2,8,4,0
Tamaz Bochorishvili,"5' 10""", 155 lbs,,Georgia,,,0,1,0,0,0,1,0
Marc Bockenheimer,0,0,,Germany,9/19/198,,0,0,0,0,0,2,0
Brian Boclair,0,0,,,,,0,0,0,1,0,1,0
Jakub Boczek,0,0,,,,,0,0,0,0,0,1,0
Jeremy Boczulak,0,0,,,,,0,0,0,1,0,1,0
Gergo Bodis,0,0,,Ireland,,,0,0,0,1,0,1,0
Alex Bodnar,"6' 0""", 145 lbs,,Slovakia,,,1,0,1,2,4,2,0
Milan Bodonji,0,0,,Serbia,,,0,1,0,0,0,2,0
Pavel Bodrov,0,0,,Russia,,,0,0,0,0,0,0,0
Tomasz Boduszek,0,0,,,,,0,0,0,1,0,1,0
Kevin Boehm,"5' 11""", 145 lbs,,USA,28,,4,2,1,2,9,6,0
Arne Boekee,0,0,,,,,0,0,0,1,0,1,0
Ben Boekee,0,0,,,5/29/198,,0,0,0,1,0,1,0
Evan Boemer,0,0,,,,,0,1,0,0,0,1,0
Drake Boen,0,0,,,,,0,2,0,0,0,2,0
Jonas Boeno do Rosario,"6' 0""", 170 lbs,,Brazil,37,,0,0,0,0,0,3,0
Paulo Boer,0,0,,Netherlands,11/26/198,,0,0,1,1,1,2,0
Joe Boerschig,"5' 8""", 170 lbs,,USA,33,,0,2,0,0,0,2,0
Tim Boetsch,"6' 0""", 185 lbs,Wrestling,USA,42,Orthodox,13,4,3,5,21,13,0
Galore Bofando,"5' 11""", 170 lbs,,England,40,Switch,4,1,0,0,6,3,0
Jay Bogan,0,0,,USA,9/13/198,,0,1,2,0,2,1,0
Artem Bogatirev,0,0,,,,,0,0,0,1,0,1,0
Rustam Bogatirev,0,0,,,,,1,0,0,1,1,2,0
Roman Bogatov,"5' 8""", 155 lbs,,Russia,32,Orthodox,1,0,5,0,10,1,0
Adam Bogatyrev,"6' 2""", 265 lbs,,Russia,27,,0,0,0,0,1,1,0
Isa Bogatyrev,0,0,,Russia,,,0,0,0,1,0,1,0
Denis Bogdanov,0,0,,,,,0,0,0,3,0,3,0
Ivan Bogdanov,0,0,,Russia,1/13/199,,1,0,0,1,1,1,0
Julian Bogdanov,0,0,,,,,0,0,0,1,0,2,0
Kresimir Bogdanovic,0,0,,,,,1,0,0,0,1,0,0
Nebojsa Bogdanovic,0,0,,Montenegro,,,0,1,0,0,0,1,0
Josh Boger,0,0,,,,,0,0,0,1,0,1,0
Brandon Boggs,0,0,,,,,0,1,0,0,0,1,0
Taurean Bogguess,0,0,,,,,0,1,1,4,1,6,0
Mike Bogner,0,0,,,2/21/197,,0,0,0,2,0,2,0
Rustam Bogotov,0,0,,,,,0,0,0,1,0,1,0
Admir Bogucanin,0,0,,,,,0,1,0,0,0,1,0
Andrei Bogus,0,0,,Scotland,,,0,1,0,0,0,1,0
Viktor Bogutzki,0,0,,,,,0,0,0,1,0,1,0
Max Bohanan,0,0,,,,,1,0,0,0,1,1,0
Derek Bohi,0,0,,,,,5,4,2,1,7,5,0
Jerry Bohlander,0,0,,,,Orthodox,0,3,4,0,5,3,0
Mandy Bohm,"5' 7""", 125 lbs,,Germany,33,Orthodox,2,0,2,0,7,2,0
Jacob Bohn,"6' 0""", 155 lbs,,USA,34,,2,5,4,1,9,9,0
Austin Bohne,0,0,,,,,0,1,0,0,0,1,0
Vinicius Bohrer,0,0,,,,,0,0,0,1,0,2,0
Vinicius Bohrer,"5' 11""", 170 lbs,,Brazil,34,,0,2,1,0,1,2,0
Paulo Boiko,0,0,,,,,0,0,0,0,0,1,0
Rich Boine,0,0,,,,,1,0,0,1,1,1,0
Franklin Boise,0,0,,,,,0,0,0,1,0,1,0
Daniel Boissonneault,0,0,,,,,0,1,0,0,0,1,0
Christopher Boisvert,0,0,,,,,0,0,0,1,0,1,0
Ramon Boixader,0,0,,,,,0,1,0,1,0,2,0
Milena Bojic,0,0,,,,,0,1,0,0,0,1,0
Anatoli Bojinov,0,0,,,,,0,1,0,0,0,1,0
Angel Bojorquez,0,0,,,,,0,1,0,0,0,1,0
Vahan Bojukyan,0,0,,,8/20/197,,0,2,0,0,0,2,0
Jeff Bok,0,0,,,,,0,0,1,0,1,0,0
Elijah Bokelli,0,0,,,,,2,0,1,0,3,0,0
Kotetsu Boku,"5' 9""", 145 lbs,,,45,Orthodox,13,2,1,6,26,14,2
Saba Bolaghi,"5' 6""", 145 lbs,,Germany,33,,4,0,4,0,14,3,1
Bill Boland,0,0,,,,,0,0,0,0,1,0,0
Gaston Bolanos,"5' 7""", 145 lbs,,USA,30,,6,0,0,2,6,3,0
Timur Bolatov,0,0,,,,,0,0,0,0,0,1,0
Khaliun Boldbataar,0,0,,,,,0,0,0,0,0,1,0
Dan Bolden,0,0,,,,,0,2,0,0,0,3,0
Marcelo Boldrini,0,0,,Brazil,5/30/198,,0,1,0,1,0,2,0
J.F. Bolduc,0,0,,,,,0,0,0,0,0,2,0
Evgeni Boldyrev,0,0,,,,,0,4,0,0,0,5,0
Mahsea Bolea,0,0,,,,,0,1,0,0,1,1,0
Tom Bolger,0,0,,,,,0,0,0,1,0,1,0
Christian Bolle,0,0,,,,,0,0,0,1,0,1,0
David Bollea,0,0,,USA,11/28/199,,0,1,1,0,1,1,0
Cody Bollinger,0,0,,,3/18/199,,5,2,8,4,19,7,0
Jackie Bollinger,0,0,,,,,0,2,0,0,0,2,0
Tomas Bolo,0,0,,,,,0,1,0,0,0,1,0
Silvano Bolognani,"5' 5""", 135 lbs,,Italy,32,,0,0,0,0,0,1,0
Dmitri Bolotin,0,0,,Russia,,,0,0,0,1,0,1,0
Brandon Bolt,0,0,,USA,,,0,1,0,0,0,1,0
Donald Bolt,0,0,,,,,0,0,0,0,0,1,0
Jeremy Bolt,0,0,,,,,0,1,0,1,0,2,0
Kyle Bolt,0,0,,,,,0,3,0,0,0,3,0
Adrian Bolton,0,0,,,,,0,1,0,0,0,1,0
Derik Bolton,0,0,,,,,0,1,0,0,0,1,0
Heady Bomaye Missouri,0,0,,,,,0,0,0,0,0,1,0
Marcio Bomba,0,0,,,,,0,1,0,0,0,1,0
Christian Bombay,0,0,,,,,0,0,0,1,0,1,0
Robert Bona,0,0,,Austria,,,0,0,0,2,0,2,0
Rich Bonafidini,0,0,,,,,0,2,0,0,0,2,0
Daryl Bonar,0,0,,,,,0,0,0,1,0,1,0
Esteban Bonaveri,0,0,,Argentina,,,1,0,0,0,1,0,0
Krasimir Bonchev,0,0,,,,,0,1,0,0,0,1,0
Jake Bond,"5' 4""", 125 lbs,,England,,,0,1,0,1,0,2,0
John Bond,0,0,,,,,0,0,0,1,0,1,0
